term,meaning,type,latin,native,language
piqdjiq,lull,o,pingjing,平静,chinese
piqgut,evaluate,a,pínggū,评估,chinese
piqtal,platform,o,pingtai,平台,chinese
piqxim,subside,a,pingxi,平息,chinese
piqyoq,mediocre,m,píng yōng,平庸,chinese
pir,peer,o,,,english
pirad,period,m,period,,english
piratz,gush,a,peretz,פֶּרֶץ,hebrew
pirit,savage,m,pere,פֶּרֶא,hebrew
pirok,endure,a,le'eR(o)H,לֶאֱרוֹךְ,hebrew
piroz,pack,o,le'eR(o)z,לֶאֱרוֹז,hebrew
pirsum,publication,o,pirsum,פִּירְסוּם,hebrew
pirten,pertain,a,,,english
piryon,product,a,piryon,פִּרְיוֹן,hebrew
pis,peace,o,,,
pisak,interval,a,pesek,פֶּסֶק,hebrew
pitman,nipple,o,pitma,פִּטְמָה,hebrew
pitput,chatter,o,pitput,פִּטְפּוּט,hebrew
pitul,twist,o,pitul,פִּיתּוּל,hebrew
pitzan,injury,o,petza,פֶּצַע,hebrew
pitzul,fragment,o,pitzul,פִּיצּוּל,hebrew
pitzutz,explosion,o,pitzutz,פִּיצּוּץ,hebrew
pixom,guilty,o,le'ex(o)m,לֶאְשׁוֹם,hebrew
piyat,blame,a,pī́yati,पीयति,sanskrit
pizen,rash,a,pí zhěn,皮疹,chinese
pizmon,chorus,o,pizmon,פִּזְמוֹן,hebrew
plak,pluck,o,,,english
plan,plan,a,,,english
plant,plant,o,,,english
plap,glottal stop,m,,,
ples,place,a,,,english
pliz,please (request),a,,,english
plovar,plover (bird),m,plovar,,english
pluman,fluff,o,,,
podal,ramp,o,podao,坡道,chinese
podjup,rundown,o,pò jiù,破旧,chinese
podjut,shabby,m,pò jiù,破旧,chinese
pog,free,o,,,
poklaq,pretty,o,piaoliang,漂亮,chinese
polip,poll,m,poll,,english
pondan,pound (measure),o,,,english
ponen,lazy,o,le'on(e)n,לְאוֹנֵן,hebrew
ponent,component,a,,,english
porsin,suidae,o,,,
port,important,m,,,english
pot,complete,a,,,
potit,signal,o,le'ot(e)t,לְאוֹתֵת,hebrew
powal,ruin,o,pò huài,破坏,chinese
poxan,potion,o,,,english
prab,probable,m,,,english
prabol,parabola,o,,,english
pradan,foremost,m,pradhāna,प्रधान,sanskrit
prakrit,original nature,o,Prakṛti,प्रकृति,sanskrit
prakyan,procyonidae,o,,,
pramat,prime,m,prime,,english
pranin,sentient,m,,प्राणिन्,sanskrit
prasvin,sweat,o,prasvinna,प्रस्विन्न,sanskrit
pratit,trust,o,pratīti,प्रतीति,sanskrit
pratxir,enclosure,o,prācīra,प्राचीर,sanskrit
pravix,enter,a,praviś,प्रविश्,sanskrit
premet,primate,o,,,english
pres,pressure,o,,,english
pridik,predict,a,,,english
prikaq,bloom,o,pricha,פְּרִיחָה,hebrew
prinak,grant,o,,पृणक्ति,sanskrit
prit,soil,o,pṛthvī,पृथ्वी,sanskrit
pritum,broad,o,,पृथु,sanskrit
prival,prevail,o,,,english
prixet,appreciate,a,,,english
prixut,asceticism,o,prishut,פְּרִישׁוּת,hebrew
priyam,beloved,o,priyá,प्रिय,sanskrit
priyat,busy,a,,प्रियते,sanskrit
prizum,presume,a,,,english
protom,proto,m,proto,,english
protrude,lotxuq,a,lòuchū,露出,chinese
puf,prove,o,,,
pufan,poof,m,poof,,english
puhton,thump,a,putong,扑通,chinese
pukak,crystal,m,,ᐳᑲᒃ,inuktitut
pulaq,inflated,m,phulla,फुल्ल,sanskrit
pum,time (count),o,,,
punar,back to home,a,púnar,पुनर्,sanskrit
punat,purge,o,,पुनाति,sanskrit
pup,borrow,o,,,
pur,per,a,,,english
puran,former,o,purāṇa,पुराण,sanskrit
purux,aware,m,purusha,पुरुष,sanskrit
pusyat,thrive,a,púṣyati,पुष्यति,sanskrit
pyalaq,nifty,m,piào liang,漂亮,chinese
pyanhal,preference,o,piān hào,偏好,chinese
pyutor,computer,o,,,english
rabaq,master,o,rabba,رَبَّ,arabic
rac,straight,o,,,
raCaC,drizzle,o,raḏāḏ,رَذَاذ,arabic
raCik,velocity,o,,hraði,icelandic
rad,update,o,,,
radat,scrape,o,,रदति,sanskrit
radex,radish,m,,,english
radif,chase,a,redifa,רְדִיפָה,hebrew
radjal,comb (hair),a,rajjala,رَجَّلَ,arabic
radud,shallow (depth),m,radud,רָדוּד,hebrew
rafak,raised,a,rafa,a,arabic
rafal,mist,o,arafel,עֲרָפֶל,hebrew
ragil,spy,o,leRag(e)l,לְרַגֵּל,hebrew
rahas,mystery,o,rahasya,रहस्य,sanskrit
rahat,furnish,o,leRah(e)t,לְרַהֵט,hebrew
rahif,hover,o,leRaH(e)f,לְרַחֵף,hebrew
rahim,mercy,o,raḥima,رَحِمَ,arabic
rahiv,ingredient,o,rechiv,רְכִיב,hebrew
rakan,bow,o,rākiʿ,رَاكِع ,arabic
rakats,wash,a,rachats,רָחַץ,hebrew
rakav,rot,a,rakav,רָקָב,hebrew
raket,racket (tool),m,racket,,english
rakib,perpetrate,a,rakiba,رَكِبَ,arabic
rakxik,guard,o,rakSika,रक्षिक,sanskrit
ral,real,o,,,english
ram,dark,o,rāma,राम,sanskrit
ramil,sand,o,ramil,رَمْل,arabic
ramkol,amplify,a,ramkol,רַמְקוֹל,hebrew
ramos,trample,a,liRm(o)s,לִרְמוֹס,hebrew
ramp,r sound,o,,,
ran,reminiscent of (-esque),o,,,
rand,random,o,,,english
randjan,dye,o,rañjana,रञ्जन,sanskrit
rantik,software,o,ruǎntǐ,软体,chinese
rantxin,conscientious,m,renzhen,认真,chinese
ranzaq,grime,o,anzang,肮脏,chinese
raped,pad,o,leRap(e)d,לְרַפֵּד,hebrew
raptor,raptor,o,,,english
rapxar,rupture,a,,,english
rar,rare,o,,,english
ras,in,m,,,
rasak,moisture,o,rasā́,रसा,sanskrit
rasam,paint,a,rasama,رَسَمَ,arabic
rasik,mash,o,leRas(e)k,לְרַסֵּק,hebrew
rasis,spray,o,leRas(e)s,לְרַסֵּס,hebrew
rasul,messenger,o,rasūl,رَسُول,arabic
rataq,cart,o,rátha,रथ,sanskrit
ratas,effusion,a,retas,रेतस्,sanskrit
ratik,fascinate,a,leRat(e)k,לְרַתֵּק,hebrew
ratit,tremble,a,leRat(e)t,לְרַטֵּט,hebrew
ratx,vowel a sound,a,,,
ratzid,flicker,o,leRatz(e)d,לְרַצֵּד,hebrew
rav,particle,a,ravā,रवा,
ravak,profit,o,revach,רֶווַח,hebrew
raxaf,spark,o,reshef,רֶשֶׁף,hebrew
raxan,crime,a,rasha,רָשָׁע,hebrew
raxat,inherit,a,laR(e)xet,לָרֶשֶׁת,hebrew
raxim,list,o,reshima,רְשִׁימָה,hebrew
rayan,interview,o,leRay(e)n,לְרַאְייֵן,hebrew
raz,layer,o,,,
razom,rhizome,o,,,english
reC,progress,a,,,
reCin,rage,o,,reiði,icelandic
reCur,irrational (number),o,,óræður,icelandic
red,ready,m,,,english
redet,radiate,a,,,english
redyan,radian (measurement),o,,,english
ref,success,o,,,
regal,foot,o,regel,רֶגֶל,hebrew
rehov,street,o,rechov,רְחוֹב,hebrew
rek,array,o,,,english
renan,wren (bird),m,wren,,english
rend,french r sound,o,,,
rendan,grace,o,endian,恩典,chinese
rendur,render,a,,,english
renmen,folk,o,rénmen,人们,chinese
renmin,citizen,o,rénmín,人民,chinese
rentxak,talent,o,réncái,人才,chinese
renzen,earnest,m,rèn zhēn,认真,chinese
reqk,vowel english r sound,o,,,
retix,rate (change),m,rate,,english
retxiq,enthusiasm,o,rè qíng,热情,chinese
reven,revenue,o,,,english
rexin,zeal,o,rè xīn,热心,chinese
rezor,razor (tool),m,razor,,english
ribit,interest (banking),o,ribit,רִיבִּית,hebrew
ribon,rule (control),o,ribon,רִיבּוֹן,hebrew
riCak,sway,o,,riða,icelandic
rid,read,o,,,
ridjek,reject,a,,,english
ridjum,frank,m,,ऋजु,sanskrit
rif,close (near),a,,,
rifruf,flutter,m,rifruf,רִיפְרוּף,hebrew
rig,infinite,m,,,
rigiv,clod of earth,m,regev,רֶגֶב,hebrew
rihax,purchase,a,rechesh,רֶכֶשׁ,hebrew
rihux,asset,a,rechush,רְכוּשׁ,hebrew
rij,origin,o,,,
rik,up,m,fawq,فوق,arabic
rikud,dance,o,rikud,רִיקּוּד,hebrew
rikuz,concentration,o,rikuz,רִיכּוּז,hebrew
rikxan,reaction,m,reaction,,english
rilik,calendar,o,rì lì,日历,chinese
rim,stream,o,,,
rimaz,hint,a,remez,רֶמֶז,hebrew
rimen,remain,a,,,english
rinos,rhinoceros,o,,,english
rinxiq,ductile,m,renxing,韧性,chinese
rip,location,o,,,
ripas,fault,o,répas,रेपस्,sanskrit
riport,report,a,,,english
riq,you (communicating-agent-target-focus),o,,,
riqan,ring (math),o,,,english
riqoq,artificial,o,rengong,人工,chinese
risid,recede,a,,,english
risis,sliver,o,resis,רְסִיס,hebrew
rispand,respond,a,,,english
rit,after,m,,,
ritrak,retract,a,,,english
ritut,vibration,o,ritut,רִיטּוּט,hebrew
ritzpan,floor,o,ritzpa,רִצְפָּה,hebrew
ritzup,strap,o,retzu'a,רְצוּעָה,hebrew
rivalv,revolve,a,,,english
rivav,lots,o,revava,רְבָבָה,hebrew
rivaz,revise,a,,,english
rixet,net,o,reshet,רֶשֶׁת,hebrew
rixum,record,o,rishum,רִישּׁוּם,hebrew
rixut,permission,o,reshut,רְשׁוּת,hebrew
riz,rise,a,,,
rob,why,m,,,
rodan,dictator,o,rodan,רוֹדָן,hebrew
rog,program,o,,,english
rokin,empty,m,leRok(e)n,לְרוֹקֵן,hebrew
rol,cycle,o,,,
rom,merge,a,,,
roqyik,apt,m,róng yì,容易,chinese
rotiv,sauce,o,rotev,רוֹטֶב,hebrew
hintres,interest,o,,,english
roxam,impression,o,roshem,רוֹשֶׁם,hebrew
rudran,roar,o,rudra,रुद्र,sanskrit
ruf,thirteen,o,,,
rug,hold,a,,,
rujal,bump,o,rougeole,,french
ruk,bottom,o,,,
rukmin,radiant,o,rukmini,रुक्मिणी,sanskrit
rul,rule (in system),o,,,
rum,room,o,,,english
ruman,pomegranate,o,rummān,رُمَّان,arabic
rumnant,ruminant,o,,,english
run,write,a,,,
rup,partial (semi-),m,,,
rupaq,outward appearance,m,rūpá,रूप,sanskrit
rupz,10^36,o,,,
rutxin,thus,m,rúcǐ,如此,chinese
ruwak,spirit,o,rúakh,רוּחַ,hebrew
ruzot,slim,m,liRz(o)t,לִרְזוֹת,hebrew
sabat,mackerel,a,saba,さば,japanese
sabir,patient,m,ṣābir,صَابِر,arabic
sabon,soap,o,sabon,סַבּוֹן,hebrew
sabyam,polite,m,,सभ्य,sanskrit
sad,solid,m,,,english
sadal,saddle,o,,,english
sadan,perform,a,sādhanā,साधना,sanskrit
sadid,violent,a,šadīd,شَدِيد,arabic
sadir,tidy,m,lesad(e)R,לְסַדֵּר,hebrew
sadjad,bow down in respect,o,sajada,سَجَدَ,arabic
sadjam,equipment,a,,सज्जा,sanskrit
sadjest,suggest,a,,,english
sadran,steward,o,sadran,סַדְרָן,hebrew
safar,ride,o,safari,,swahili
safiks,suffix,m,,,english
safsal,bench,a,safsal,סַפְסָל,hebrew
safsir,speculate,a,lesafs(e)R,לְסַפְסֵר,hebrew
saft,soft,m,,,english
sag,beyond (extra- or hyper-),a,,,
sagsig,prosper,o,lesags(e)g,לְשַׂגְשֵׂג,hebrew
sahaC,hone,o,šaḥaḏa,شَحَذَ,arabic
sahan,tolerate,o,sahana,सहन,sanskrit
sahar,desert,o,,صحراء,arabic
saharx,glad,m,saharSa,सहर्ष,sanskrit
sahat,suppress,m,sahati,सहति,sanskrit
sahib,associate,a,ṣāḥib,صَاحِب,arabic
sahov,yellow,m,tsahov,צָהֹב,hebrew
sak,sack,o,,,english
sakan,doubt,a,šakka,شَكَّ,arabic
saket,socket,o,,,english
sakib,vociferate,o,sakhiba,صَخِبَ,arabic
sakik,psychic,m,,,english
sakin,blade,o,sakin,סַכִּין,hebrew
sakran,intrigue,a,lesakR(e)n,לְסַקְרֵן,hebrew
sakrit,simultaenous,m,sakṛ́t,सकृत्,sanskrit
saksin,spectate,a,sākṣin,साक्षिन्,sanskrit
sakyul,succulent,a,,,english
sal,bit on,m,,,
salab,grasshopper,o,śalabha,शलभ,sanskrit
salak,righteous,m,ṣalaḥa,صَلَحَ,arabic
salat,pray,a,ṣalāh,صَلَاة,arabic
sals,celsius,a,,,english
sam,some,m,,,english
samak,fish,o,samaki,,swahili
saman,respect,o,sammāna,सम्मान,sanskrit
samdin,hinge,o,,संधि,sanskrit
samen,mark (symbol),o,lesam(e)n,לְסַמֵּן,hebrew
samgam,sex,o,saṃgamá,संगम,sanskrit
samhit,combine,a,saṃhitā,संहिता,sanskrit
samik,fight,o,samīka,समीक,sanskrit
samil,denote,a,lesam(e)l,לְסַמֵּל,hebrew
samrer,shock,o,lesamR(e)R,לְסַמְרֵר,hebrew
samsad,court (justice),o,saṃsad,संसद्,sanskrit
samsar,course,o,saṃsāra,संसार,sanskrit
samtan,wholesome,o,śáṃtanu,शंतनु,sanskrit
sand,sound,o,sound,,english
sanen,refine,a,lesan(e)n,לְסַנֵּן,hebrew
sant,scent,o,,,english
sanver,dazzle,o,lesanv(e)R,לְסַנְווֵר,hebrew
sanzwaq,bulk,o,sǎn zhuāng,散装,chinese
sap,etc.),m,,,
sapak,supplier,o,sapak,סַפָּק,hebrew
sapar,barber,o,sapar,סַפָּר,hebrew
sapres,cypress,o,,,english
sapud,meal,o,se'uda,סְעוּדָה,hebrew
saqkat,suspect,o,,शङ्कते,sanskrit
saras,potent,a,,सरस,sanskrit
sarin,axle,o,seren,סֶרֶן,hebrew
sariq,sorry,m,,,english
sarit,tape,o,seret,סֶרֶט,hebrew
sarksat,flesh,o,sarks,σάρξ,greek
sarod,survive,a,lisR(o)d,לִשְׂרוֹד,hebrew
sarpam,creep,o,,सर्प,sanskrit
saruk,wing,o,,ᐃᓴᕈᖅ,inuktitut
sarvan,entire,m,sárva,सर्व,sanskrit
sas,parent,o,,,
saspend,suspend,a,,,english
satal,subtle,m,,,english
satvam,existence,o,sattvá,सत्त्व,sanskrit
satyam,sincere,m,,सत्य,sanskrit
savik,knife,o,,ᓴᕕᒃ,inuktitut
sax,such,m,,,english
sayan,collaborate,a,say'an,סַייְעָן,hebrew
sayaq,lamb,o,seya,שֵׂיָה,hebrew
sayir,patrol,o,lesay(e)R,לְסַייֵּר,hebrew
sekxan,section,o,,,engllsh
sekyut,execute,a,,,english
sem,same (sym-),m,,,
sen,say,m,,,english
senat,senate,a,,,english
sentsur,censor,o,,,english
servus,elk,o,,,latin
ses,essence,o,,,
set,percent,o,,,english
setan,set (math),o,,,english
setas,cetacea,o,,,
setras,citrus,o,,,english
sev,save,a,,,english
sevor,savor,a,,,english
sibak,reason,o,siba,סִבָּה,hebrew
sibuk,complication,o,sibúkh,סִבּוּךְ,hebrew
siCan,page,o,,síða,icelandic
sid,seed,o,,,
sidak,crack,o,sedek,סֶדֶק,hebrew
sidar,cedar,o,,,english
sidjin,actual,a,shiji,实际,chinese
sigrat,speed,o,,शीघ्रता,sanskrit
sihim,fraction,o,sehemu,,swahili
sijet,topic,o,sujet,,french
sik,seek,a,,,
sikad,cicada,o,,,english
siksit,sciuridae (squirrel),o,siksit,ᓯᒃᓯᑦ,inuktitut
sikuv,refusal,a,seQuv,סֵרוּב,hebrew
sil,front,o,,,
silaq,pervert,a,selang,色狼,chinese
silek,torn,a,sī liè,撕裂,chinese
sim,seem,a,,,english
siman,symbol,o,siman,סִימָן,hebrew
simet,symmetry,o,symmetria,συμμετρία,greek
simpleks,simplex,o,,,english
simun,indicate,o,simun,סִימּוּן,hebrew
sin,soon,m,,,english
sindrom,syndrome,o,,,english
sinun,filtrate,a,sinun,סִינּוּן,hebrew
sip,pain,o,,,
sipun,deck,o,sipun,סִיפּוּן,hebrew
sipur,tale,o,sipur,סִיפּוּר,hebrew
siroq,velvet,o,sī róng,丝绒,chinese
sirpent,snake,o,,,english
sirtun,carcinogenesis,o,sirtun,סִירְטוּן,hebrew
sirup,syrup,o,,,english
sirut,rent,o,schirut,שְׂכִירוּת,hebrew
siruv,refuse,m,seruv,סֵירוּב,hebrew
sisuk,conflict,o,sichsuch,סִיכְסוּךְ,hebrew
sitir,slack,o,,शिथिर,sanskrit
sitx,second (time),o,,,english
sitxol,silk,o,sī chóu,丝绸,chinese
sivam,service,o,,सेवा,sanskrit
sivar,hypothesis,o,svara,סְבָרָה,hebrew
siyab,garment,o,ṯiyāb,ثِيَاب ,arabic
siyak,bush,o,siach,שִׂיחַ,hebrew
siyam,fast,m,ṣiyām,صِيَام,arabic
siyur,tour,o,siyur,סִיּוּר,hebrew
siyut,nightmare,o,siyut,סִיּוּט,hebrew
siz,experience,o,,,
sizal,sizzle,o,,,english
sizol,fringe,m,sìzhōu,四周,chinese
skarup,square root,o,,,english
skelar,scalar (math),o,,,english
skoCun,opinion,o,,skoðun,icelandic
skot,difficult,m,,,
skriCar,slither,o,,skrið,icelandic
skrotam,scrotum,o,,,english
slagat,boast,o,,श्लाघते,sanskrit
slihan,pardon,a,slicha,סְלִיחָה,hebrew
slip,sleep,a,,,english
smal,small,m,,,english
smok,smoke,a,,,english
smritin,reminiscient,m,smṛ́ti,स्मृति,sanskrit
snatat,pierce,o,,श्नथति,sanskrit
snikor,snicker,o,,,english
snor,s sound,o,,,
sofir,author,o,sofer,סוֹפֵר,hebrew
sok,around/surround,o,,,english
sol,close bond,o,,,
som,drug,o,soma,सोम,sanskrit
son,so/transition,m,,,english
sor,store,o,,,english
soran,sour,o,sōraṇa,सोरण,sanskrit
sotxat,gleam,o,śocati,शोचति,sanskrit
sox,society,o,,,english
soz,also,m,,,
spalat,vibrate,a,,स्फलति,sanskrit
spandjen,sponge,o,,,english
spardan,rivalry,m,spardhā,स्पर्धा,sanskrit
spastan,coherent,m,spaṣṭá,स्पष्ट,sanskrit
spes,space,o,,,english
spinak,spine,o,,,english
spirud,contest,o,,स्पृध्,sanskrit
split,split,a,,,english
spok,spoke (wheel),o,,,
spurat,throb,o,,स्फुरति,sanskrit
srotas,current (river),o,,स्रोतस्,sanskrit
stabol,stubble,o,,,english
stakip,stocky (build),m,stocky,,english
stambam,rigid,o,,स्तम्भ,sanskrit
stanam,breast,o,stána,स्तन,sanskrit
stanat,reverberate,o,,स्तनति,sanskrit
stapal,pomegranite,o,satphala,सत्फल,sanskrit
star,star,o,,,english
stator,stationary,m,sthātṛ,स्थातृ,sanskrit
stavar,steady,m,,स्थावर,sanskrit
djaqgal,sterile,m,jaṅgala,जङ्गल,sanskrit
stifCur,truncate,a,,stýfður,icelandic
stiqkan,stink,o,,,english
stirat,stability,o,sthiratā,स्थिरता,sanskrit
stivat,spit,o,ṣṭhī́vati,ष्ठीवति,sanskrit
stomak,stomach,o,,,english
storik,story,o,,,english
strak,structure,o,,,english
stuCul,coefficient,o,,stuðull,icelandic
sub,subject,o,,,
suC,three,o,,,
suCal,weld,a,,suða,icelandic
sud,somewhat (pseudo-),m,,,
sudan,peanut,o,sūdāniyy,سُودَانِيّ,arabic
sudjil,stochastic,o,suiji,随机,chinese
sufan,storm,o,sufa,סוּפָה,hebrew
sugam,convenient,m,sugama,सुगम,sanskrit
suhuf,deface,a,ṣuḥuf,صُحُف ,arabic
suk,what (missing object focus),m,,,
sukxman,keen,o,,सूक्ष्म,sanskrit
sul,more (-er),m,,,
suldjap,plastic,o,sujiao,塑胶,chinese
sulswin,trivial,m,suǒ suì,琐碎,chinese
sum,assumption,o,,,english
sumaq,input,o,tsuma,תְּשׂוּמָה,hebrew
sumat,kind (good),m,sumati,सुमति,sanskrit
sun,soon,m,,,english
sundar,charming,m,sundara,सुन्दर,sanskrit
sunyan,blank,m,śūnya,शून्य,sanskrit
sup,above (super),m,,,
suq,I/me (communicating-agent-source-focus),m,,,
sur,out,m,,,
surar,cheer,o,surra,سُرَّ,arabic
suryan,sun,o,sū́rya,सूर्य,sanskrit
sus,since,a,,,english
suxav,dear,m,,सुशेव,sanskrit
suzal,portray,o,sùzào,塑造,chinese
suzuk,bass (fish),o,suzuki,スズキ,japanese
svadan,flavor,o,,स्वाद,sanskrit
svaduq,grape/berry,o,svādú,स्वादु,sanskrit
svagam,welcome,m,svāgama,स्वागम,sanskrit
svar,vowel,o,svara,स्वर,sanskrit
svardat,relish,o,,स्वर्दते,sanskrit
svasan,sigh,a,,श्वास,sanskrit
sviCam,roast,o,,svíða,icelandic
svivon,spinning top,m,svivon,סְבִיבוֹן,hebrew
swadal,swaddle,o,,,english
swalon,swallow (bird),o,,,english
swam,swim,a,,,
swapar,swipe,o,,,english
swat,10^9,o,,,
swihen,easy-going,m,suí hé,随和,chinese
swolan,swollen,m,swollen,,english
swopek,claim,a,suǒ péi,索赔,chinese
swoyim,therefore,m,suǒyǐ,所以,chinese
tabak,cook,o,tabach,טַבָּח,hebrew
tabat,ring,o,taba'at,טַבַּעַת,hebrew
tabic,gazelle,o,Ṭabīṯāʾ,טביתא,hebrew
tabil,spice (action),o,letab(e)l,לְתַבֵּל,hebrew
taCar,apologize,a,iʿtaḏara,اِعْتَذَرَ,arabic
tadir,frequency,o,teder,תֶּדֶר,hebrew
tadjab,exclaim,o,taʿajjaba,تَعَجَّبَ,arabic
tadjas,the sharp edge of a knife,m,téjas,तेजस्,sanskrit
tadjir,rich,o,tajiri,,swahili
tadjrib,experiment,o,tajribah,تجربه,arabic
tadmit,perception,a,tadmit,תַּדְמִית,hebrew
taf,left,m,,,english
tafkid,duty,o,tafkid,תַּפְקִיד,hebrew
tagal,toggle,o,,,english
tagen,fry,o,letag(e)n,לְטַגֵּן,hebrew
tagid,corporation,o,ta'agíd,תַּאֲגִיד,hebrew
tagmul,compensation,o,tagmul,תַּגְמוּל,hebrew
taguv,comment,o,teguvah,תְּגוּבָה,hebrew
tahan,station,o,tachana,תַּחֲנָה,hebrew
tahat,deceive,m,leta'at(e)a,לְתַעְתֵּעַ,hebrew
tahav,moss,o,tchav,טְחָב,hebrew
tahim,delineate,a,letaH(e)m,לְתַחֵם,hebrew
tahud,resonance,o,tehuda,תְּהוּדָה,hebrew
tak,result,a,phala,फल,sanskrit
takan,standard,m,teken,תֶּקֶן,hebrew
takim,sterile,m,taqîm,تَعْقِيم,arabic
takin,correct,a,letak(e)n,לְתַקֵּן,hebrew
takir,investigation,o,tachkir,תַּחְקִיר,hebrew
taklit,aim,o,tachlit,תַּכְלִית,hebrew
takon,octopus,o,tako,タコ,japanese
takrim,respect (object),o,takrîm,تَكْرِيم,arabic
takrit,incident,a,takrit,תַּקְרִית,hebrew
taktuk,fog,o,,ᑕᒃᑐᒃ,inuktitut
takul,eat,o,ta'akul,تأكل,arabic
takxat,chisel,o,,तक्षति,sanskrit
takzir,brief,m,taktzir,תַּקְצִיר,hebrew
takziv,budget,o,taktziv,תַּקְצִיב,hebrew
tal,surface,o,tala,टल,sanskrit
talak,tall,o,,,english
talbim,dodge,o,táobì,逃避,chinese
talef,bat (animal),o,atalef,עֲטַלֵּף,hebrew
taltal,curl,o,taltal,תַּלְתָּל,hebrew
taltil,shake,o,letalt(e)l,לְטַלְטֵל,hebrew
taluk,chin,o,,ᑕᓪᓗ,inuktitut
talwen,stripe,o,tiáo wén,条纹,chinese
talxin,defiant,m,tiǎo xìn,挑衅,chinese
talyan,nasty,m,tǎo yàn,讨厌,chinese
talziq,tune,a,tiaozheng,调整,chinese
tam,how,m,kathám,कथम्,sanskrit
taman,price,o,ṯaman,ثَمَن,arabic
tamar,date (fruit),o,tamár,תָּמָר,hebrew
tamik,support,a,tmicha,תְּמִיכָה,hebrew
tamkits,incentive,o,tamQiyts,תַמרִיץ,hebrew
tamlal,transcribe,a,letaml(e)l,לְתַמְלֵל,hebrew
tamlil,lyrics,o,tamlil,תַּמְלִיל,hebrew
tampan,tampon,o,,,english
tamrets,stimulate,a,letamR(e)tz,לְתַמְרֵץ,hebrew
tamrik,copper,o,tāmrika,ताम्रिक,sanskrit
tan,so/great,a,,,
tanbig,transduction,o,tanbîgh,تَنْبِيْغ,arabic
tandj,finger,o,,,
tanif,pollut,o,letan(e)f,לְטַנֵּף,hebrew
tanmin,sweet (emotion),m,tianmi,甜蜜,chinese
tanpan,negotiate,a,tán pàn,谈判,chinese
tantiq,snoop,a,tàn tīng,探听,chinese
tantum,wire,o,tantu,तन्तु,sanskrit
tantxeq,candid,o,tǎn chéng,坦诚,chinese
tantxik,weather,o,tiān qì,天气,chinese
tanub,fir (tree),o,al-tanuwwb,التنوب,arabic
tanun,wind (air),o,tanuna,तनून,sanskrit
tanxiq,elastic,o,tanxing,弹性,chinese
tanzen,naive,o,tiān zhēn,天真,chinese
tanzik,blanket,m,tanzi,毯子,chinese
tapak,foster,m,letap(e)aH,לְטַפֵּחַ,hebrew
tapam,coordinate (action),a,leta'(e)m,לְתָאֵם,hebrew
tapuz,orange,o,tapuz,תַּפּוּז,hebrew
tapwak,apple,o,tappuach,תַּפּוּחַ,hebrew
taq,boolean,o,,,
tarad,cod (fish),o,tara,タラ,japanese
tarat,float,a,,तरति,sanskrit
tardim,hibernation,o,tardema,תַּרְדֵּמָה,hebrew
tardiq,particular,a,teding,特定,chinese
tardus,thrush,o,,,latin
targil,exercise,o,targil,תַּרְגִּיל,hebrew
targum,translation,o,targum,תַּרְגּוּם,hebrew
tarkam,speculation,o,tarká,तर्क,sanskrit
tarkik,logic,o,tārkika,तार्किक,sanskrit
tarkiz,concentrate,o,tarkiz,תַּרְכִּיז,hebrew
tarn,10^39,o,,,
tarpan,satisfy,m,,तर्पण,sanskrit
tartir,rumble,a,letaRt(e)R,לְטַרְטֵר,hebrew
tarxim,sketch,o,tarshim,תַּרְשִׁים,hebrew
taryaC,await,m,tarayyaṯa,تَرَيَّثَ,arabic
tasas,ferment,a,tasas,תַּסָּס,hebrew
tasik,lake,o,,ᑕᓯᖅ,inuktitut
tasit,tacit,a,,,english
taskil,frustrate,a,letask(e)l,לְתַסְכֵּל,hebrew
tasmin,symptom,o,tasmin,תַּסְמִין,hebrew
tat,sibling,o,,,
tatwir,develop,a,tatwîr,تَطْوِيْر,arabic
tavit,label/characterization,o,tavit,תָּווִית,hebrew
tavix,courage,o,,तविष,sanskrit
tavnit,pattern,o,tavnít,תַּבְנִית,hebrew
tavrup,sanitation,o,tavru'a,תַּבְרוּאָה,hebrew
tavyan,strong,m,távya,तव्य,sanskrit
tawiC,spell (charm),o,taʿwīḏa,تَعْوِيذَة,arabic
tax,touch,a,,,
taxil,practical,o,tashi,踏实,chinese
taxuv,answer,o,tshuva,תְּשׁוּבָה,hebrew
tayas,pilot,o,tayas,טַייָּס,hebrew
tayix,goat,o,táyish,תַּיִשׁ,hebrew
taz,very much of (-some),m,,,
tazeq,adjust,a,tiáozhěng,调整,chinese
tedjat,sharp,m,téjate,तेजते,sanskrit
tefir,stitch,a,tefer,תֶּפֶר,hebrew
teg,set (get),a,,,
tegak,dare,a,etegaQ,אֶתְגָּר,hebrew
tehan,fig,o,te'enah,תְּאֵנָה,hebrew
tek,take,a,,,english
telun,rail (track),o,tiělù,铁路,chinese
tempon,tempo,a,,,english
ten,potential,m,,,
tep,still (time),m,,,
teqtoq,ache,a,téng tòng,疼痛,chinese
teqtxup,vacate,a,téng chū,腾出,chinese
ter,tail,m,tail,,english
teridj,fin,o,pterygio,πτερύγιο,greek
tes,taste,o,,,
teset,trait,o,tèsè,特色,chinese
teslan,tesla (measurement),o,,,english
tetxal,spade,o,tiě qiāo,铁锹,chinese
tetxiq,livid,m,tiě qīng,铁青,chinese
tev,contradict,o,,,
tevak,range,o,tevaH,טְוָח,hebrew
texiq,feature,o,tèxìng,特性,chinese
tic,fourteen,m,,,
tidyas,tedious,m,,,english
